iter	Passed	Remaining
0	410	204970
1	841	209483
2	1182	195822
3	1459	181027
4	1859	184072
5	2370	195199
66	3193	22491277	3665	22544388	4016	2191029	3938	192982
110	4663	20731111	4597	186978
12	4966	186044
13	5354	185881
14	5730	185299
15	6151	186076
16	6475	183971
17	6870	183988
18	7219	182776
19	7522	180547
20	7977	181966
21	8306	180486
22	8669	179800
23	8997	178454
24	9325	177189
25	9656	176046
26	10046	176007227	10400	175328228	10770	17493529	11051	173146
30	11424	172848
331	11769	172123332	12209	17277833	12529	171733
34	12931	171801
35	13269	171031
336	13750	172066337	14109	171538338	14462	170952339	14784	170017440	15137	16946641	15384	167765
42	15700	166864
443	16146	167340444	16520	167040445	16898	166778446	17375	167469
47	17840	167997
48	18175	167288
49	18567	167107
50	18912	166507
51	19298	166261
52	19663	165842
53	19996	165155
54	20327	164468
55	20632	163582
56	20987	163113
57	21344	162661558	21670	161977559	22131	162294
60	22578	162491
61	22925	161960
62	23279	161481
63	23620	160917
64	23885	159849
65	24229	159325
66	24668	159423
67	24998	158812
68	25305	158065
69	25713	157955
70	26051	157411
71	26449	157229772	26807	156805773	27201	156589774	27549	156112775	28028	156368
76	28396	155998
77	28756	155581
78	29104	155103
79	29463	154684
80	29747	153876
81	30086	153369
82	30546	153466
83	30937	153216
84	31312	152880
85	31578	152019
86	32129	152520
87	32528	152293
88	32821	151569
89	33136	150955
90	33635	151175
91	34036	150945
92	34352	150338
93	34762	150144
94	35082	149563
95	35446	149168
96	35771	148617
97	36114	148143
98	36496	147829
99	36829	147318
100	37251	147161
101	37609	146750
102	38023	146556
103	38323	145922
104	38681	145517
105	38977	144878
106	39274	144249
107	39609	143768
108	39972	143387
109	40285	142830
110	40608	142311
111	41064	142258
112	41489	142091
113	41846	141691
114	42154	141126
115	42492	140664
116	42807	140129
117	43138	139650
118	43505	139290
119	43830	138795
120	44220	138507
121	44632	138288
122	45049	138079
123	45470	137878
124	45852	137556
125	46188	137099
126	46514	136614
127	46842	136137
128	47206	135765
129	47679	135703
130	48002	135213
131	48292	134632
132	48711	134413
133	49059	133997
134	49431	133646
135	49661	132916
136	50036	132578
137	50374	132142
138	50627	131485
139	51009	131166
140	51358	130763
141	51725	130407
142	52117	130111
143	52524	129852
144	52866	129431
145	53170	128919
146	53519	128519
147	53852	128082
148	54173	127616
149	54545	127273
150	54854	126783
151	55228	126444
152	55597	126092
153	55975	125763
154	56357	125441
155	56709	125052
156	57096	124739
157	57474	124407
158	57900	124177
159	58229	123738
160	58610	123410
161	58937	122969
162	59347	122700
163	59730	122375
164	60076	121973
165	60518	121766
166	60845	121327
167	61187	120918
168	61495	120443
169	61945	120248
170	62337	119936
171	62670	119511
172	63015	119110
173	63367	118722
174	63669	118243
175	64039	117891
176	64399	117520
177	64777	117182
178	65175	116879
179	65538	116513
180	65969	116266
181	66295	115834
182	66626	115413
183	67009	115081
184	67371	114714
185	67753	114379
186	68125	114028
187	68459	113613
188	68799	113210
189	69163	112845
190	69575	112559
191	69927	112176
192	70302	111827
193	70706	111526
194	71053	111134
195	71386	110722
196	71720	110311
197	72073	109930
198	72344	109426
199	72696	109044
200	73082	108714
201	73508	108443
202	73903	108125
203	74277	107774
204	74654	107428
205	74938	106950
206	75320	106612
207	75739	106325
208	76122	105989
209	76538	105696
210	76914	105347
211	77291	105000
212	77604	104565
213	77855	104050
214	78229	103699
215	78550	103278
216	79020	103053
217	79391	102699
218	79783	102370
219	80131	101986
220	80507	101636
221	80846	101240
222	81258	100935
223	81610	100555
224	81894	100092
225	82294	99772
226	82751	99520
227	83101	99138
228	83463	98771
229	83851	98433
230	84214	98067
231	84578	97703
232	84952	97348
233	85226	96881
234	85621	96552
235	85913	96106
